qid,coords
Q89415012,41.15982|14.6715
Q12068168,44.490828|11.348263
Q1236551,54.0954|13.3775
Q1563071,48.009167|0.198889
Q704346,54.310169444444|13.087847222222
Q2956755,29.7375|-95.396111
Q798175,50.971491666667|10.322611111111
Q301607,51.04872|13.73919
Q2320421,49.4912|6.59194
Q668341,52.124722222222|11.634444444444
Q133274,55.7516666666667|37.6177777777778
Q2317925,51.512667|10.263578
Q18571826,50.6083105|10.6902453605521
Q684506,46.847665|9.535575
Q2744847,41.72189722|1.82708889
Q1466926,39.4756111111111|-0.375138888888889
Q1067803,53.343055555556|-6.2713888888889
Q2251842,51.3405|12.3911
Q638250,47.70451|6.62057
Q34359516,51.238880853538|12.613375149773
Q564532,53.55027778|10.00055556
Q592392,50.920277777778|13.343333333333
Q458410,54.3153|13.0912
Q933903,54.349841666667|18.653497222222
Q383958,51.718889|8.755278
Q1508735,50.97439955|10.3195961057907
Q6456,53.552778|10.006389
Q1556432,47.2754|8.33793
Q2327461,50.91659|13.34128
Q167314,51.0527805555556|13.7369388888889
Q111097904,48.2166944444444|16.3575
Q113045037,49.96|11.579722222222
Q810103,44.4933822433274|11.3432846399505
Q694286,51.340264|12.378564
Q670913,51.1517|11.8097
Q1888459,60.173611111111|24.935
Q1268593,44.059952|12.570276
Q252166,49.793378|9.932397
Q707357,49.4509998942732|11.0787023979068
Q231606,37.3857421596313|-5.9930955622969
Q16857014,51.23051165|11.2557004
Q1123180,39.857083333333|-4.0238888888889
Q1775206,48.2422|7.8755
Q316414,51.8963|11.0487
Q1591482,52.8267|12.0789
Q1733954,50.9658|11.9053
Q2140145,41.8997130782974|12.4721548844951
Q1823413,48.2273805555556|16.3579888888889
Q200959,40.765|-73.98
Q2312076,52.38111|4.63917
Q896127,50.1495|7.43321
Q1230608,51.2071817|10.4587945905717
Q686787,47.84648|16.51928
Q877030,47.7097388888889|16.3316888888889
Q1265636,51.1308|9.27402
Q1559661,45.4342|12.34497
Q3585357,45.44117|12.34265
Q3668820,45.43878|12.3428
Q830807,45.424991666667|12.332452777778
Q126327,45.427752|12.344168
Q172988,45.434444444444|12.339722222222
Q519613,51.337778|12.380556
Q57262792,51.33196|12.36847
Q5943,48.208427|16.373256
Q732511,43.7730555555556|11.255
Q2157592,41.8978|12.4804
Q151330,52.403257|13.038626
Q282554,43.31758333|11.32869444
Q2943,41.903055555556|12.454444444444
Q258908,47.7977777777778|13.0469444444444
Q895479,49.868022|8.652322
Q1419675,52.373889|4.891944
Q679292,47.795|13.0473
Q1573417,50.64028|5.57167
Q170402,51.339292|12.372586
Q1282278,43.84066|10.50587
Q490497,37.5747222222222|126.993611111111
Q5785797,39.85805556|-4.0275
Q666935,51.05349|13.73735
Q201428,48.402222222222|2.7005555555556
Q317912,50.7409|7.10492
Q925864,47.61944|16.87167
Q1236685,54.411111111111|18.557777777778
Q666479,47.556389|7.5925
Q198106,50.111111111111|8.6808333333333
Q1736086,49.8539|8.35459
