gndid,qid
4408878-4,Q846365
4063512-0,Q694252
4410349-9,Q688472
4389935-3,Q661752
4320056-4,Q2323242
7657656-5,Q89415012
4449503-1,Q12068168
4386852-6,Q1236551
4608000-4,Q1563071
4508140-2,Q704346
4487616-6,Q2956755
4320189-1,Q798175
4267676-9,Q301607
4536022-4,Q2320421
4129551-1,Q668341
4074990-3,Q133274
4208518-4,Q2317925
7641014-6,Q18571826
4227812-0,Q684506
4776590-2,Q2744847
4578352-4,Q1466926
4600803-2,Q1067803
4757119-6,Q2251842
4234305-7,Q638250
4392610-1,Q34359516
4312579-7,Q564532
4125067-9,Q592392
4528570-6,Q458410
4449610-2,Q933903
4126204-9,Q383958
4353468-5,Q1508735
4585700-3,Q6456
4202685-4,Q1556432
4340705-5,Q2327461
4256724-5,Q167314
4821086-9,Q111097904
4222390-8,Q113045037
4406254-0,Q810103
4300889-6,Q694286
4524140-5,Q670913
7614989-4,Q1888459
4279144-3,Q1268593
4307489-3,Q55178541
4216592-1,Q252166
4224099-2,Q707357
4416448-8,Q231606
7607736-6,Q16857014
4224926-0,Q1123180
4353411-9,Q1775206
4136982-8,Q316414
4269790-6,Q1591482
4293003-0,Q1733954
4402265-7,Q2140145
4479364-9,Q1823413
4256673-3,Q200959
7605552-8,Q2312076
4755864-7,Q896127
4310277-3,Q1230608
4676488-4,Q686787
4237478-9,Q877030
4236983-6,Q1265636
4631731-4,Q1559661
7524803-7,Q3585357
4226848-5,Q3668820
4221903-6,Q830807
4485730-5,Q126327
4078763-1,Q172988
4114392-9,Q519613
4439652-1,Q57262792
4079282-1,Q5943
4097997-0,Q732511
4748080-4,Q2157592
4132604-0,Q151330
4245259-4,Q282554
4104970-6,Q2943
4224677-5,Q258908
4368952-8,Q895479
4842959-4,Q1419675
4051421-3,Q679292
4074362-7,Q1573417
4468631-6,Q170402
4223844-4,Q1282278
7527117-5,Q490497
4745425-8,Q5785797
4223029-9,Q666935
4277998-4,Q201428
4561441-6,Q317912
4262062-4,Q925864
4352131-9,Q1236685
4120970-9,Q666479
4258855-8,Q198106
4214987-3,Q1736086
