gndid,coords
4123332-3,53.548333|9.978889
4069201-2,49.9443446976773|11.5786636208644
4212398-7,48.398611111111|9.9925
4430157-1,48.851002|2.334923
4122000-6,49.998889|8.273889
4581892-7,50.9458|10.7044
7691985-7,49.30117|10.57099
7599669-8,47.141436|7.246564
7833001-4,50.94627|10.70441
4425713-2,50.7179|12.4952
4718325-1,50.8956864|12.35439008209
7756486-8,51.17581235|11.4189128010929
4765153-2,50.99092095|11.0267530710348
4305695-7,41.90827|12.48252
4206437-5,51.4994|-0.127367
4119785-9,43.07484|12.60581
4106691-1,54.511666666667|9.5413888888889
4212264-8,52.51|13.37
4496763-9,50.5536|11.7156
4195387-3,51.9631|7.62556
4071989-3,37.17599|-3.59904
4132384-1,47.995556|7.852222
4051084-0,50.2715|8.56666
4821045-6,48.2146|16.3803
4271001-7,52.524722|13.394444
7844419-6,53.228592|7.449092
7740035-5,19.4343942|-99.1330824
4070108-6,37.8788654292767|-4.77934163461387
4122902-2,52.521111|13.295833
4194515-3,44.80334|10.33092
4104570-1,48.141944444444|11.576388888889
4647158-3,45.406388888889|11.871666666667
4509621-1,41.9875|2.82638889
4363430-8,51.317153|9.501097
4541734-9,49.01992|12.08744
7517061-9,51.508888888889|-0.13944444444444
4270903-9,48.2056694444444|16.3677
4223589-3,54.3228|10.14
4308121-6,48.2253|15.1562
4501844-3,40.424502777778|15.005377777778
4683710-3,48.305|14.2879
4227471-0,47.2684|11.3953
4759120-1,46.050714261|14.508242129
4097998-2,43.7730555555556|11.2569444444444
4657526-1,43.7727|11.255817
4306895-9,51.064722|-1.7975
4466667-6,51.84243|-0.93727
4398519-1,42.700555555556|2.8969444444444
4270744-4,48.4774|8.93424
4796465-0,50.987963|12.439106
4272463-6,50.723055555556|10.455833333333
4117859-2,40.7336111111111|-74.0027777777778
4393279-4,50.835277777778|10.351944444444
4237104-1,50.934638888889|6.9586111111111
7738806-9,49.0114|8.38694
4386310-3,13.4125|103.86666666667
4289347-1,51.1662|13.4715
4122597-1,50.9413888888889|6.95833333333333
4222392-1,49.9409451027258|11.5820616479593
4069037-4,46.945|4.2991666666667
4409302-0,47.585501|1.33095
4335629-1,53.550278|9.996389
4222282-5,49.01833333|12.1
4248427-3,50.733408|7.099789
4196596-6,46.947222222222|7.4513888888889
4243639-4,50.054638888889|19.935416666667
4274055-1,50.8748|8.02606
7665776-0,51.053018|13.736752
4716285-5,41.896687|12.471521
4543717-8,52.400966|13.043411
7704944-5,51.10944444|17.03472222
4495218-1,48.72956017119|13.601669669151
4418011-1,51.482555555556|11.968094444444
4307225-2,40.96069|-5.666
4307222-7,40.96045|-5.66646
4336926-1,49.3779134529747|10.1776764598237
4224747-0,42.8805555555556|-8.54444444444444
4754826-5,40.07849|-2.12901
4370404-9,50.5811|7.22133
4297022-2,43.9508|4.8075
4267115-2,52.515833333333|13.394722222222
4103202-0,49.76274|10.82049
4251533-6,44.64623|10.92572
4468106-9,49.984901|7.523106
4068763-6,51.220268|4.40025
4231815-4,50.5703|10.4128
4486270-2,41.617777777778|0.62666666666667
4253825-7,42.717011111111|12.113272222222
4796483-2,48.2007|15.6327
4359256-9,52.264166666667|10.524166666667
4317974-5,48.31058|14.29278
4526471-5,51.106944444444|17.077222222222
4323189-5,51.35863|12.0011
4215003-6,53.8608|10.6858
4318293-8,51.34138889|12.37111111
1244927392,50.9834|11.3274
4447660-7,53.799064|8.758653
4581807-1,48.805044|2.122089
4361353-6,50.938|6.9593
4075797-3,45.411818|11.879536
4195250-9,48.5741795073507|13.4654998317116
4597714-8,51.814167|4.66
4429382-3,53.8709|10.689
7674347-0,50.838522|12.925103
4366980-3,51.895397|11.051042
7674353-6,49.4417|7.76139
4076822-3,41.9022222222222|12.4534166666667
4262377-7,41.858611111111|12.477222222222
4228647-5,41.8975|12.498611111111
4107883-4,50.982502|11.335319
4124075-3,41.885905555556|12.506155555556
4513905-2,48.211649|16.374825
4093545-0,29.97915|31.13422
4416535-3,49.756111111111|6.6430555555556
4302608-4,51.4842|11.9644
4361287-8,51.422294444444|-0.075788888888889
4194773-3,49.0194601194874|12.0983020672463
4260256-7,48.7767|9.17806
4116639-5,48.581666666667|7.7508333333333
4068523-8,43.928491666667|2.1429444444444
4075869-2,48.853|2.3498
4126584-1,50.77475|6.0839222222222
4225189-8,47.822922|9.791683
4275418-5,45.463968|9.190578
4463440-7,51.11166667|17.03027778
4075873-4,48.861028|2.335886
4408878-4,53.339444444444|-6.2713888888889
4063512-0,50.1156658466371|11.0540715969714
4410349-9,48.208888888889|16.377222222222
4389935-3,51.866388888889|12.637777777778
4320056-4,52.5426|11.9747
7657656-5,41.15982|14.6715
4449503-1,44.490828|11.348263
4386852-6,54.0954|13.3775
4608000-4,48.009167|0.198889
4508140-2,54.310169444444|13.087847222222
4487616-6,29.7375|-95.396111
4320189-1,50.971491666667|10.322611111111
4267676-9,51.04872|13.73919
4536022-4,49.4912|6.59194
4129551-1,52.124722222222|11.634444444444
4074990-3,55.7516666666667|37.6177777777778
4208518-4,51.512667|10.263578
7641014-6,50.6083105|10.6902453605521
4227812-0,46.847665|9.535575
4776590-2,41.72189722|1.82708889
4578352-4,39.4756111111111|-0.375138888888889
4600803-2,53.343055555556|-6.2713888888889
4757119-6,51.3405|12.3911
4234305-7,47.70451|6.62057
4392610-1,51.238880853538|12.613375149773
4312579-7,53.55027778|10.00055556
4125067-9,50.920277777778|13.343333333333
4528570-6,54.3153|13.0912
4449610-2,54.349841666667|18.653497222222
4126204-9,51.718889|8.755278
4353468-5,50.97439955|10.3195961057907
4585700-3,53.552778|10.006389
4202685-4,47.2754|8.33793
4340705-5,50.91659|13.34128
